1_0,2_0,2_1,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,E
9.8442617e-15,2.3182553e-13,1.6820051e-12,2.6842541e-12,1.7238657e-11,1.4361775e-10,1.522027e-11,6.3718643e-11,2.0058107e-10,1.4050139e-11,2.5774188e-11,169.33436
9.8344085e-15,2.3094352e-13,1.6709889e-12,2.6464695e-12,1.6957336e-11,1.3882955e-10,1.4583818e-11,6.1196971e-11,1.9884799e-10,1.2862284e-11,2.3696983e-11,177.06205
9.8242906e-15,2.3002943e-13,1.6595842e-12,2.6076797e-12,1.6670064e-11,1.3405542e-10,1.3955255e-11,5.869222e-11,1.9590212e-10,1.1766032e-11,2.1767754e-11,185.1424
9.8138981e-15,2.2908196e-13,1.647798e-12,2.5678608e-12,1.637716e-11,1.2930436e-10,1.3336205e-11,5.6203043e-11,1.9185526e-10,1.074466e-11,1.9980944e-11,193.5915
9.8032233e-15,2.280998e-13,1.6356449e-12,2.5270487e-12,1.6078339e-11,1.2458239e-10,1.2725537e-11,5.3734804e-11,1.8681886e-10,9.7948305e-12,1.8340168e-11,202.42617
9.7922726e-15,2.2708148e-13,1.6231462e-12,2.4852918e-12,1.5773214e-11,1.1989404e-10,1.2125214e-11,5.1294954e-11,1.8094381e-10,8.9179712e-12,1.6845711e-11,211.66403
9.7810581e-15,2.260255e-13,1.610325e-12,2.4426361e-12,1.5461993e-11,1.1524576e-10,1.1537394e-11,4.8887596e-11,1.7437494e-10,8.1139877e-12,1.5493312e-11,221.32346
9.7695955e-15,2.2493072e-13,1.5971799e-12,2.3991208e-12,1.5145385e-11,1.106444e-10,1.0962035e-11,4.6517508e-11,1.6722612e-10,7.3815136e-12,1.4272975e-11,231.42371
9.757893e-15,2.2379617e-13,1.5836975e-12,2.3547834e-12,1.4824012e-11,1.0609596e-10,1.0399298e-11,4.4190714e-11,1.5963329e-10,6.7166757e-12,1.3167534e-11,241.98488
9.7458933e-15,2.2262087e-13,1.5698608e-12,2.3096154e-12,1.4497713e-11,1.0160729e-10,9.8516416e-12,4.1913304e-11,1.5173101e-10,6.1122885e-12,1.2150962e-11,253.02803
9.733498e-15,2.2140379e-13,1.5556491e-12,2.2635789e-12,1.4166108e-11,9.7184073e-11,9.3194333e-12,3.9686758e-11,1.4362356e-10,5.5570767e-12,1.11892e-11,264.57513
